Team,Underwater Race,Funnel Race,Balancing,Gravitrax Slalom,5 Meter Sprint,Relay Run,Block Pushing,Summer Biathlon,Hurdles Race,Hubelino Maze,Dirt Race,Rafting,Elimination Race,Surfing,Collision,Event 16,Total
Raspberry Racers,11,20,2,20,7,15,12,15,20,6,15,10,25,12,,,190
Green Ducks,20,9,12,12,12,25,8,2,11,8,20,25,20,4,,,188
Hazers,12,15,25,1,20,8,0,5,15,25,10,15,5,20,,,176
Savage Speeders,25,25,9,8,0,4,9,3,6,15,12,6,4,9,,,135
Mellow Yellow,5,7,10,11,25,7,15,7,8,9,1,2,9,11,,,127
Jungle Jumpers,1,8,0,15,6,10,2,25,9,2,11,1,11,25,,,126
Crazy Cat's Eyes,7,2,15,25,15,6,10,6,7,3,4,7,15,0,,,122
Midnight Wisps,8,6,6,10,1,0,25,3,25,1,2,20,7,3,,,117
Team Galactic,9,10,11,6,9,11,20,12,2,1,3,12,6,1,,,113
Chocolatiers,15,3,1,7,10,1,6,20,10,5,6,3,10,7,,,104
O'rangers,2,0,7,3,8,20,11,11,12,10,5,4,4,5,,,102
Thunderbolts,10,11,20,5,5,12,4,8,1,7,0,0,8,10,,,101
Indigo Stars,6,4,5,9,11,5,7,0,4,4,8,8,12,15,,,98
Pinkies,0,5,3,2,2,9,1,4,0,20,25,9,0,8,,,88
Balls of Chaos,4,12,4,4,3,2,5,9,5,11,7,11,3,6,,,86
Oceanics,3,1,8,0,4,3,3,10,3,12,9,5,1,2,,,64